Id,Name,Value,Date
Rio,CHUZA,13.89,2025-10-08
Rio,CONCEPCION,11.15,2025-10-08
Rio,CUCUANA,6.55,2025-10-08
Rio,DESV. BATATAS,7.29,2025-10-08
Rio,DESV. CHIVOR,7.22,2025-10-08
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",10.16,2025-10-08
Rio,DESV. GUARINO,4.78,2025-10-08
Rio,DESV. MANSO,3.24,2025-10-08
Rio,DESV. SAN MARCOS,1.21,2025-10-08
Rio,DIGUA,38.65,2025-10-08
Rio,EL QUIMBO,167.82,2025-10-08
Rio,ESCUELA DE MINAS,40.68,2025-10-08
Rio,ESTRELLA,1.55,2025-10-08
Rio,GRANDE,32.01,2025-10-08
Rio,GUADALUPE,44.04,2025-10-08
Rio,GUATAPE,46.23,2025-10-08
Rio,GUAVIO,82.39,2025-10-08
Rio,ITUANGO,471.64,2025-10-08
Rio,MIEL I,75.89,2025-10-08
Rio,NARE CP,20.98,2025-10-08
Rio,PORCE III,19.39,2025-10-08
Rio,PORCE2 CP,71.97,2025-10-08
Rio,PRADO,92.42,2025-10-08
Rio,QUEBRADONA,0.46,2025-10-08
Rio,SAN CARLOS,39.72,2025-10-08
Rio,SAN EUGENIO,7.48,2025-10-08
Rio,SAN FRANCISCO,2.35,2025-10-08
Rio,SAN MIGUEL,63.52,2025-10-08
Rio,SINU URRA,423.14,2025-10-08
Rio,SOGAMOSO,406.56,2025-10-08
Rio,TENCHE,9.49,2025-10-08
